HCPCS,Mod,Description,Billing Unit,Managed Rental Rate,Managed Purchase Rate,Commercial Rental Rate,Commercial Purchase Rate,Comments
E1016,NU,Shock absorber for power wheelchair,Each,,126,,Retail less 36%,
E1017-E1019,NU,"Wheelchair accessory, shock absorber",Each,,Retail less 36%,,Retail less 36%,
E1020,NU,"Residual limb support system for wheelchair, any type",Each,,233.4,,Retail less 36%,
E1028,NU,"Manual swingaway, retractable, or removable mounting hardware",Each,,198.1,,Retail less 36%,
E1029,NU/RR,"Wheelchair accessory, vent tray",Each/Month,Retail less 36%,Retail less 36%,Retail less 36%,Retail less 36%,
E1030,NU/RR,"Wheelchair accessory, vent tray gimbaled",Each/Month,Retail less 36%,Retail less 36%,Retail less 36%,Retail less 36%,
E1031,NU/RR,Rollabout chair (Geri-chair),Each/Month,41,410,41,410,
E1035-E1037,NU,Transport chair,Each,,Retail less 36%,,Retail less 36%,
E1161,NU,Manual WC w/tilt in space,Each,,2634,,2634,
E1220,NU/RR,"Wheelchair, specially sized or constructed",Each/Month,112,896,112,896,
E1226,NU/RR,"Wheelchair accessory, manual fully reclining back",Each/Month,35.05,350.5,35.05,350.5,
E1229,NU,"Wheelchair, pediatric size, not otherwise specified",Each,,Retail less 36%,,Retail less 36%,
E1231,NU,"Wheelchair, pediatric size, tilt-in-space, rigid, adjustable, with seating system",Each,,Retail less 36%,,Retail less 36%,
E1232,NU,"Wheelchair, pediatric size, tilt-in-space, folding, adjustable, with seating system",Each,,Retail less 36%,,Retail less 36%,
E1233,NU,"Wheelchair, pediatric size, tilt-in-space, rigid, adjustable, without seating system",Each,,Retail less 36%,,Retail less 36%,
E1234,NU,"Wheelchair, pediatric size, tilt-in-space, folding, adjustable, without seating",Each,,Retail less 36%,,Retail less 36%,
E1235,NU,"Wheelchair, pediatric size, rigid, adjustable, with seating system",Each,,Retail less 36%,,Retail less 36%,
E1236,NU,"Wheelchair, pediatric size, folding, adjustable, with seating system",Each,,Retail less 36%,,Retail less 36%,
E1237,NU,"Wheelchair, pediatric size, rigid, adjustable, without seating system",Each,,Retail less 36%,,Retail less 36%,
E1238,NU,"Wheelchair, pediatric size, folding, adjustable, without seating system",Each,,Retail less 36%,,Retail less 36%,
E2201,NU/RR,"Wheelchair seat, non-standard width 20 - 23inches",Each/Month,15,150,15,150,
E2202,NU/RR,"Wheelchair seat, non-standard width 24 - 27inches",Each/Month,17.5,175,17.5,175,
E2203,NU/RR,"Wheelchair seat, non-standard width 20 - 21 inches",Each/Month,15,150,15,150,
E2204,NU/RR,"Wheelchair seat, non-standard width 22 - 25inches",Each/Month,17.5,175,17.5,175,
E2205,NU,"Manual wheelchair accessory, handrim",Each,,30.1,,Retail less 36%,
E2206,NU,Complete wheel lock assembly,Each,,39.8,,Retail less 36%,
E2207,NU,Crutch and cane holder,Each,,47.45,,Retail less 36%,
E2208,NU,Cylinder tank carrier,Each/Month,11.2,112,Retail less 36%,Retail less 36%,
E2209,NU,Arm trough each,Each,,101.15,,Retail less 36%,
E2210,NU,Wheelchair bearings,Each,,6.3,,Retail less 36%,
E2211,NU,"Manual wheelchair accessory, pneumatic propulsion tire",Each,,35.5,,Retail less 36%,
E2212,NU,"Manual wheelchair accessory, pneumatic prop tire tube",Each,,5.5,,Retail less 36%,
E2213,NU,"Manual wheelchair accessory, pneumatic prop tire insert",Each,,31,,Retail less 36%,
E2214,NU,"Manual wheelchair accessory, pneumatic caster tire each",Each,,30.35,,Retail less 36%,
E2215,NU,"Manual wheelchair accessory, pneumatic caster tire tube",Each,,10.5,,Retail less 36%,
E2216-E2218,NU,Manual wheelchair accessories,Each,,Retail less 36%,,Retail less 36%,
E2219,NU,"Manual wheelchair accessory, foam caster tire any size ea",Each,,42.25,,Retail less 36%,
E2220,NU,"Manual wheelchair accessory, solid propulsion tire each",Each,,26.6,,Retail less 36%,
