HCPCS,Mod 1,Mod 2,Commercial,,,,,,,,
B4150,,,$0.46,,,,,,,,
B4150,BO,,Prevailng State Rates,,,,,,,,
B4152,BO,,Prevailng State Rates,,,,,,,,
B4152,,,$0.38,,,,,,,,
B4153,,,$1.54,,,,,,,,
B4154,,,$0.81,,,,,,,,
B4154,BO,,Prevailng State Rates,,,,,,,,
B4155,,,$0.90,,,,,,,,
B4155,BO,,Prevailng State Rates,,,,,,,,
B4158,BO,,Prevailng State Rates,,,,,,,,
B4158,,,$8.51,,,,,,,,
B4160,BO,,Cost Invoice,,,,,,,,
B4160,,,$0.87,,,,,,,,
B4161,BO,,Prevailng State Rates,,,,,,,,
B4161,,,$2.16,,,,,,,,
B4161,BA,,Prevailng State Rates,,,,,,,,
B4162,,,Prevailng State Rates,,,,,,,,
B9002,,,$758.06,,,,,,,,
B9002,RR,,$115.34,,,,,,,,
B9998,,,Cost Invoice,,,,,,,,
E0100,,,$21.49,,,,,,,,
E0105,,,$50.52,,,,,,,,
E0110,,,$80.47,,,,,,,,
E0114,,,$48.93,,,,,,,,
E0118,,,$823.50,,,,,,,,
E0118,RR,,$82.35,,,,,,,,
E0130,,,Prevailng State Rates,,,,,,,,
E0135,,,Prevailng State Rates,,,,,,,,
E0140,,,Prevailng State Rates,,,,,,,,
E0141,,,Prevailng State Rates,,,,,,,,
E0143,,,$87.34,,,,,,,,
E0147,,,$448.00,,,,,,,,
E0148,,,Prevailng State Rates,,,,,,,,
E0149,,,$162.16,,,,,,,,
E0149,RR,,$16.22,,,,,,,,
E0154,,,$54.43,,,,,,,,
E0155,,,Prevailng State Rates,,,,,,,,
E0156,,,$19.20,,,,,,,,
E0163,,,$89.78,,,,,,,,
E0165,,,$156.62,,,,,,,,
E0165,RR,,$15.66,,,,,,,,
E0167,,,Prevailng State Rates,,,,,,,,
E0168,,,$132.75,,,,,,,,
E0168,RR,,$13.28,,,,,,,,
E0181,,,$219.60,,,,,,,,
E0181,RR,,$21.96,,,,,,,,
E0184,,,$183.45,,,,,,,,
E0184,RR,,$18.34,,,,,,,,
E0185,,,Prevailng State Rates,,,,,,,,
E0188,,,$25.54,,,,,,,,
E0189,,,Prevailng State Rates,,,,,,,,
E0190,,,Prevailng State Rates,,,,,,,,
E0191,,,Prevailng State Rates,,,,,,,,
E0197,,,Prevailng State Rates,,,,,,,,
E0199,,,Prevailng State Rates,,,,,,,,
E0202,RR,,$55.20,,,,,,,,
E0240,,,Prevailng State Rates,,,,,,,,
E0241,,,Prevailng State Rates,,,,,,,,
E0243,,,Prevailng State Rates,,,,,,,,
E0244,,,Prevailng State Rates,,,,,,,,
E0245,,,Prevailng State Rates,,,,,,,,
