HCPCS,Mod 1,Mod 2,Medicaid
E0694,,,Prevailing State Rates
E0700,,,Cost Invoice
E0705,,,$50.29
E0730,,,$66.84
E0745,RR,,Prevailing State Rates
E0747,,,"$4,060.89"
E0748,,,"$4,034.59"
E0760,,,Prevailing State Rates
E0776,,,$178.90
E0776,RR,,$17.89
E0784,,,"$4,373.53"
E0784,RR,,Prevailing State Rates
E0910,,,$152.90
E0910,RR,,$15.29
E0912,,,"$1,221.00"
E0912,RR,,$122.10
E0935,,,$317.80
E0935,RR,,$31.78
E0940,RR,,$26.59
E0950,,,$479.68
E0951,,,$18.77
E0952,,,Prevailing State Rates
E0953,,,$235.08
E0954,,,$54.32
E0955,,,$292.88
E0955,RR,,$29.29
E0956,,,$103.54
E0957,,,$142.76
E0960,,,$94.16
E0961,,,$29.83
E0961,RR,,$2.98
E0966,,,$85.70
E0966,RR,,$8.46
E0967,,,$77.55
E0971,,,$53.89
E0971,RR,,$5.39
E0973,,,$113.88
E0978,,,$35.74
E0978,RR,,$3.57
E0981,,,$48.78
E0982,,,$53.32
E0986,,,"$13,363.98"
E0990,,,$89.00
E0990,RR,,$8.90
E0992,,,Prevailing State Rates
E0995,,,$31.45
E1002,,,"$4,888.59"
E1004,,,Prevailing State Rates
E1007,,,"$8,141.66"
E1010,,,Prevailing State Rates
E1012,,,"$5,798.31"
E1016,,,$135.91
E1020,,,$230.08
E1028,,,$299.18
E1028,RR,,$29.92
E1031,,,Prevailing State Rates
E1032,,,$833.77
E1033,,,$601.18
E1140,RR,,Prevailing State Rates
E1150,RR,,Prevailing State Rates
E1161,,,"$3,977.26"
E1161,RR,,$397.73
E1225,,,$429.91
E1225,RR,,$42.99
E1226,,,$498.30
E1226,RR,,$49.83
E1232,,,Prevailing State Rates
E1234,,,Prevailing State Rates
E1235,,,"$2,230.23"
E1236,,,"$1,822.33"
E1237,,,"$1,984.76"
E1238,,,"$1,967.65"
E1238,RR,,$196.77
E1353,RR,,Prevailing State Rates
E1355,RR,,$5.88
E1356,RR,,$145.73
E1372,RR,,$16.98
E1390,,,$91.76
E1390,QF,,Prevailing State Rates
E1390,QG,,Prevailing State Rates
E1390,QG,RR,Prevailing State Rates
E1390,RR,,$129.43
E1390,RR,QF,$130.00
E1390,RR,QG,$130.00
E1392,,,Prevailing State Rates
E1392,RR,,$37.96
E1399,,,Cost Invoice
E1399,RR,,Cost Invoice
E1594,RR,,Prevailing State Rates
E1800,RR,,$127.03
E1805,,,"$1,310.24"
E1805,RR,,$131.02
E1806,RR,,Prevailing State Rates
E1810,RR,,Prevailing State Rates
E1815,,,"$1,379.20"
E1815,RR,,$137.92
E1825,RR,,Prevailing State Rates
E1830,RR,,Prevailing State Rates
E1840,RR,,Prevailing State Rates
E2000,RR,,$53.75
E2100,,,Prevailing State Rates
E2102,,,$293.26
E2103,,,$323.30
E2201,,,$627.34
E2201,RR,,$62.73
E2202,RR,,$56.92
E2203,,,$805.28
E2204,,,Prevailing State Rates
E2205,,,$34.56
E2206,,,$48.04
E2207,,,$45.75
E2208,,,$98.75
E2208,RR,,$9.88
E2209,,,$109.06
E2210,,,$6.76
E2211,,,$65.70
E2212,,,Prevailing State Rates
E2213,,,$35.91
E2214,,,Prevailing State Rates
E2215,,,Prevailing State Rates
E2218,,,$141.43
E2219,,,$50.23
E2220,,,$26.41
E2221,,,$30.16
E2222,,,$25.30
E2224,,,$117.74
E2225,,,$20.88
E2226,,,Prevailing State Rates
E2231,,,$176.15
E2291,,,Prevailing State Rates
E2298,,,"$7,630.57"
E2300,,,Prevailing State Rates
E2301,,,Cost Invoice
E2310,,,"$1,695.02"
E2311,,,"$2,225.35"
E2313,,,$993.59
E2322,,,"$2,837.20"
E2323,,,$71.59
E2325,,,Prevailing State Rates
E2328,,,Prevailing State Rates
E2331,,,Cost Invoice
E2359,,,$174.16
E2361,,,$126.34
E2363,,,$204.12
E2365,,,$101.61
E2366,,,$248.72
E2367,,,Prevailing State Rates
E2370,,,"$1,163.33"
E2374,,,$774.05
E2375,,,$846.31
E2376,,,"$1,389.29"
E2377,,,"$1,454.27"
E2378,,,$552.14
E2381,,,$74.00
E2383,,,Prevailing State Rates
E2386,,,$214.41
E2387,,,Prevailing State Rates
E2388,,,$52.13
E2389,,,$28.32
E2390,,,$44.29
E2391,,,$21.21
E2392,,,$53.22
E2394,,,$111.23
E2395,,,$56.45
E2396,,,$68.81
E2397,,,$492.90
E2398,,,Prevailing State Rates
E2402,RR,,$771.28
E2510,,,"$5,876.47"
E2512,,,"$3,135.00"
E2599,,,Cost Invoice
E2601,,,$604.36
E2602,,,$123.56
E2603,,,$156.87
E2604,,,$195.00
E2605,,,$278.56
E2607,,,$285.85
E2608,,,Prevailing State Rates
E2609,,,Cost Invoice
E2611,,,"$1,187.78"
E2612,,,$437.28
E2613,,,$406.76
E2615,,,$655.33
E2616,,,$629.82
E2617,,,$821.45
E2619,,,$53.09
E2620,,,$540.12
E2621,,,Prevailing State Rates
E2622,,,$302.18
E2623,,,Prevailing State Rates
E2624,,,$248.68
E2626,,,$678.01
E8000,,,Prevailing State Rates
E8001,,,"$2,009.34"
K0001,,,$372.10
K0001,RR,,$37.21
K0002,RR,,Prevailing State Rates
K0003,,,$556.50
K0003,RR,,$55.65
K0004,,,"$1,074.44"
K0004,RR,,$107.44
K0005,,,"$2,116.96"
K0006,RR,,$88.31
K0006,,,Prevailing State Rates
K0007,,,"$1,613.90"
K0007,RR,,$161.39
K0015,,,$184.89
K0017,,,$52.01
K0018,,,$29.08
K0019,,,$15.29
K0020,,,$47.27
K0037,,,$49.84
K0038,,,$24.68
K0040,,,$72.52
K0041,,,$53.88
K0042,,,$29.14
K0043,,,$19.87
K0044,,,$16.95
K0045,,,Prevailing State Rates
K0047,,,$77.80
K0052,,,$94.07
K0053,RR,,$10.38
K0065,,,Prevailing State Rates
K0069,,,$117.93
K0070,,,$216.32
K0071,,,$128.96
K0072,,,$72.96
K0077,,,$69.46
K0108,,,Cost Invoice
K0108,RR,,Cost Invoice
K0195,,,$171.53
K0195,RR,,$17.15
K0462,RR,,$560.22
K0606,,,"$2,900.00"
K0606,RR,,$290.00
K0669,,,Prevailing State Rates
K0733,,,$80.62
K0738,RR,,$37.96
K0739,,,$15.89
K0800,,,"$1,013.39"
K0801,,,"$1,729.74"
K0821,,,"$2,286.10"
K0822,,,"$4,882.35"
K0823,,,"$2,823.53"
K0823,RR,,$282.35
K0824,,,Prevailing State Rates
K0825,,,"$6,571.76"
K0827,,,"$8,213.71"
K0827,RR,,$821.37
K0835,,,"$3,102.81"
K0836,,,"$3,217.79"
K0837,,,Prevailing State Rates
K0838,,,"$3,595.90"
K0848,,,"$5,468.89"
K0849,,,"$4,995.09"
K0851,,,Prevailing State Rates
K0856,,,"$6,810.67"
K0857,,,Prevailing State Rates
K0861,,,"$5,242.50"
K0862,,,"$6,503.19"
L0120,,,$31.14
L0160,,,Prevailing State Rates
L0172,,,$120.68
L0174,,,$254.09
L0180,,,$370.46
L0200,,,$581.97
L0456,,,$913.75
L0457,,,$742.73
L0464,,,"$1,365.63"
L0484,,,Prevailing State Rates
L0486,,,Prevailing State Rates
L0621,,,$86.45
L0625,,,Prevailing State Rates
L0627,,,$377.66
L0630,,,Prevailing State Rates
L0631,,,$943.16
L0637,,,"$1,032.62"
L0639,,,Prevailing State Rates
L0640,,,$961.39
L0641,,,Prevailing State Rates
L0642,,,$312.51
L0648,,,$780.46
L0650,,,$854.51
L0651,,,$845.51
L0810,,,Prevailing State Rates
L0859,,,Prevailing State Rates
L0861,,,Prevailing State Rates
L0984,,,$60.18
L0999,,,Prevailing State Rates
L1006,,,"$1,283.42"
L1020,,,Prevailing State Rates
L1040,,,Prevailing State Rates
L1060,,,Prevailing State Rates
L1080,,,Prevailing State Rates
L1085,,,Prevailing State Rates
L1200,,,"$1,838.71"
L1210,,,$230.30
L1220,,,Prevailing State Rates
L1240,,,$73.04
L1250,,,Prevailing State Rates
L1260,,,Prevailing State Rates
L1270,,,Prevailing State Rates
L1290,,,$70.66
L1300,,,"$1,486.81"
