HCPCS,Mod 1,Mod 2,Medicare
E8000,,,Prevailing State Rates
E8001,,,Prevailing State Rates
K0001,,,$543.50
K0001,RR,,$54.35
K0002,RR,,Prevailing State Rates
K0003,,,$883.13
K0003,RR,,$88.31
K0004,,,"$1,007.83"
K0004,RR,,$100.78
K0005,,,"$2,182.70"
K0006,RR,,$111.27
K0006,,,Prevailing State Rates
K0007,,,"$1,939.90"
K0007,RR,,$193.99
K0015,,,$212.62
K0017,,,$66.07
K0018,,,$37.34
K0019,,,$15.29
K0020,,,$63.26
K0037,,,Prevailing State Rates
K0038,,,$24.68
K0040,,,$75.99
K0041,,,Prevailing State Rates
K0042,,,Prevailing State Rates
K0043,,,$26.59
K0044,,,Prevailing State Rates
K0045,,,$76.88
K0047,,,Prevailing State Rates
K0052,,,Prevailing State Rates
K0053,RR,,$11.02
K0065,,,Prevailing State Rates
K0069,,,Prevailing State Rates
K0070,,,$216.32
K0071,,,Prevailing State Rates
K0072,,,$87.50
K0077,,,$69.46
K0108,,,Cost Invoice
K0108,RR,,Cost Invoice
K0195,,,$186.90
K0195,RR,,$18.69
K0462,RR,,$560.22
K0606,,,"$2,900.00"
K0606,RR,,$290.00
K0669,,,Prevailing State Rates
K0733,,,$31.26
K0738,RR,,$37.96
K0739,,,$15.89
K0800,,,"$1,013.39"
K0801,,,"$2,031.94"
K0821,,,Cost Invoice
K0822,,,Cost Invoice
K0823,,,Cost Invoice
K0823,RR,,Cost Invoice
K0824,,,"$6,102.00"
K0825,,,"$5,586.00"
K0827,,,"$8,213.71"
K0827,RR,,$821.37
K0835,,,"$3,772.35"
K0836,,,"$3,912.39"
K0837,,,Prevailing State Rates
K0838,,,"$4,135.29"
K0848,,,"$5,468.89"
K0849,,,"$6,046.69"
K0851,,,"$7,014.37"
K0856,,,"$8,218.17"
K0857,,,Prevailing State Rates
K0861,,,"$5,754.85"
K0862,,,Prevailing State Rates
L0120,,,$31.14
L0160,,,$202.92
L0172,,,$120.68
L0174,,,$254.09
L0180,,,$370.46
L0200,,,$581.97
L0456,,,$913.75
L0457,,,$742.73
L0464,,,"$1,365.63"
L0484,,,Prevailing State Rates
L0486,,,Prevailing State Rates
L0621,,,Prevailing State Rates
L0625,,,Prevailing State Rates
L0627,,,$377.66
L0630,,,Prevailing State Rates
L0631,,,$943.16
L0637,,,"$1,032.62"
L0639,,,Prevailing State Rates
L0640,,,Prevailing State Rates
L0641,,,Prevailing State Rates
L0642,,,$312.51
L0648,,,$780.46
L0650,,,$854.51
L0651,,,$845.51
L0810,,,Prevailing State Rates
L0859,,,Prevailing State Rates
L0861,,,Prevailing State Rates
L0984,,,Prevailing State Rates
L0999,,,Prevailing State Rates
L1006,,,Prevailing State Rates
L1020,,,Prevailing State Rates
L1040,,,Prevailing State Rates
L1060,,,Prevailing State Rates
L1080,,,Prevailing State Rates
L1085,,,Prevailing State Rates
L1200,,,Prevailing State Rates
L1210,,,Prevailing State Rates
L1220,,,Prevailing State Rates
L1240,,,Prevailing State Rates
L1250,,,Prevailing State Rates
L1260,,,Prevailing State Rates
L1270,,,Prevailing State Rates
L1290,,,Prevailing State Rates
L1300,,,Prevailing State Rates
L1320,,,Prevailing State Rates
L1499,,,$985.71
L1620,,,Prevailing State Rates
L1650,,,Prevailing State Rates
L1660,,,Prevailing State Rates
L1686,,,$814.14
L1812,,,$81.56
L1820,,,$102.89
L1821,,,Prevailing State Rates
L1830,,,$79.99
L1832,,,$713.46
L1833,,,$400.27
L1836,,,Prevailing State Rates
L1843,,,$824.34
L1844,,,"$2,370.26"
L1845,,,$747.11
L1846,,,"$1,125.30"
L1850,,,Prevailing State Rates
L1851,,,$692.39
L1852,,,$621.36
L1902,,,$86.15
L1904,,,$609.22
L1906,,,$105.85
L1907,,,$516.97
L1930,,,$188.69
L1932,,,$819.84
L1940,,,$467.60
L1945,,,$919.38
L1950,,,"$1,286.68"
L1951,,,$771.58
L1960,,,$487.86
L1970,,,$561.25
L1971,,,$633.89
L1980,,,$608.11
L2034,,,Prevailing State Rates
L2036,,,"$2,106.61"
L2050,,,Prevailing State Rates
L2108,,,Prevailing State Rates
L2112,,,Prevailing State Rates
L2114,,,Prevailing State Rates
L2200,,,$55.79
L2210,,,$62.02
L2220,,,$85.18
L2232,,,$117.04
L2250,,,$416.98
L2270,,,$63.02
L2275,,,$118.67
L2280,,,$399.15
L2300,,,Prevailing State Rates
L2320,,,$340.55
L2330,,,$408.88
L2340,,,$485.74
L2350,,,$884.79
L2360,,,$89.37
L2370,,,$241.43
L2385,,,Prevailing State Rates
L2387,,,Prevailing State Rates
L2390,,,Prevailing State Rates
L2395,,,$202.71
L2397,,,$116.31
L2405,,,$117.90
L2415,,,$164.25
L2425,,,Prevailing State Rates
L2430,,,Prevailing State Rates
L2600,,,Prevailing State Rates
L2620,,,$276.82
L2624,,,$291.46
L2755,,,$120.06
L2760,,,Prevailing State Rates
L2768,,,Prevailing State Rates
L2780,,,Prevailing State Rates
L2785,,,Prevailing State Rates
L2795,,,Prevailing State Rates
L2800,,,Prevailing State Rates
L2810,,,Prevailing State Rates
L2820,,,$76.43
L2830,,,$82.69
L2840,,,Prevailing State Rates
L2850,,,Prevailing State Rates
L2999,,,Cost Invoice
L3000,,,Prevailing State Rates
L3003,,,Prevailing State Rates
L3010,,,Prevailing State Rates
L3020,,,Prevailing State Rates
L3030,,,Prevailing State Rates
L3031,,,Prevailing State Rates
L3040,,,Prevailing State Rates
L3050,,,Prevailing State Rates
L3060,,,Prevailing State Rates
L3100,,,Prevailing State Rates
L3150,,,Prevailing State Rates
L3170,,,Prevailing State Rates
L3202,,,Prevailing State Rates
L3203,,,Prevailing State Rates
L3206,,,Prevailing State Rates
L3207,,,Prevailing State Rates
L3260,,,Prevailing State Rates
L3300,,,Prevailing State Rates
L3310,,,Prevailing State Rates
L3332,,,$67.75
L3350,,,Prevailing State Rates
L3540,,,Prevailing State Rates
L3650,,,Prevailing State Rates
L3660,,,$113.31
L3670,,,$101.24
L3675,,,Prevailing State Rates
L3702,,,Prevailing State Rates
L3710,,,Prevailing State Rates
L3760,,,$378.93
L3761,,,$535.20
L3762,,,Prevailing State Rates
L3766,,,Prevailing State Rates
L3806,,,Prevailing State Rates
L3807,,,$209.08
L3808,,,Prevailing State Rates
L3809,,,$171.23
L3906,,,Prevailing State Rates
L3908,,,$62.35
L3913,,,Prevailing State Rates
L3915,,,Prevailing State Rates
L3916,,,Prevailing State Rates
L3918,,,Prevailing State Rates
L3923,,,$82.34
L3924,,,$82.34
L3925,,,Prevailing State Rates
L3933,,,Prevailing State Rates
L3960,,,Prevailing State Rates
L3980,,,$266.26
L3982,,,$321.52
L3984,,,Prevailing State Rates
L3995,,,$31.26
L3999,,,Cost Invoice
L4002,,,$26.24
L4205,,,$21.25
L4210,,,$235.37
L4350,,,$86.63
L4360,,,$324.94
L4361,,,$254.48
L4386,,,Prevailing State Rates
L4387,,,$145.65
L4396,,,$151.58
L4397,,,Prevailing State Rates
L4398,,,Prevailing State Rates
L4631,,,"$1,405.45"
L5000,,,$473.78
L5020,,,Prevailing State Rates
L5050,,,"$2,527.66"
L5100,,,Prevailing State Rates
L5150,,,Prevailing State Rates
L5301,,,"$2,627.00"
L5321,,,"$4,058.29"
L5331,,,Prevailing State Rates
L5450,,,Prevailing State Rates
L5530,,,Prevailing State Rates
L5540,,,"$2,074.68"
L5585,,,Prevailing State Rates
L5590,,,"$2,369.66"
L5611,,,Prevailing State Rates
L5618,,,$292.93
L5620,,,$278.14
L5622,,,Prevailing State Rates
L5624,,,$353.18
L5626,,,Prevailing State Rates
L5629,,,$297.99
L5630,,,Prevailing State Rates
L5631,,,$412.00
L5632,,,Prevailing State Rates
L5636,,,$433.88
L5637,,,$279.16
L5643,,,Prevailing State Rates
L5645,,,$748.18
L5646,,,Prevailing State Rates
L5647,,,$745.90
L5649,,,"$1,887.15"
L5650,,,$538.14
L5651,,,"$1,126.09"
L5652,,,$408.82
L5654,,,Prevailing State Rates
L5655,,,$325.51
L5656,,,Prevailing State Rates
L5658,,,Prevailing State Rates
L5665,,,Prevailing State Rates
L5668,,,$105.21
L5670,,,$408.83
L5671,,,$621.90
L5673,,,$517.34
L5676,,,$582.69
L5678,,,$65.31
L5679,,,$559.72
L5681,,,Prevailing State Rates
L5682,,,Prevailing State Rates
