HCPCS,Mod 1,Mod 2,ASO/Commercial
K0015,,,Prevailing State Rates
K0017,,,Prevailing State Rates
K0018,,,52.49
K0019,,,338.08
K0020,,,Prevailing State Rates
K0037,,,49.84
K0038,,,34.55
K0040,,,75.99
K0041,,,Prevailing State Rates
K0042,,,29.14
K0043,,,Prevailing State Rates
K0044,,,22.67
K0045,,,76.88
K0047,,,Prevailing State Rates
K0052,,,Prevailing State Rates
K0053,RR,,11.02
K0065,,,59.8
K0069,,,Prevailing State Rates
K0070,,,216.32
K0071,,,Prevailing State Rates
K0072,,,87.5
K0077,,,69.46
K0108,,,Cost Invoice
K0108,RR,,Cost Invoice
K0195,,,186.9
K0195,RR,,18.69
K0462,RR,,560.22
K0606,,,2900
K0606,RR,,290
K0669,,,Prevailing State Rates
K0733,,,31.26
K0738,RR,,37.96
K0739,,,15.89
K0800,,,3263.05
K0801,,,Prevailing State Rates
K0821,,,Cost Invoice
K0822,,,Prevailing State Rates
K0823,,,Cost Invoice
K0823,RR,,Cost Invoice
K0824,,,Prevailing State Rates
K0825,,,Prevailing State Rates
K0827,,,8213.71
K0827,RR,,821.371
K0835,,,Prevailing State Rates
K0836,,,Prevailing State Rates
K0837,,,Prevailing State Rates
K0838,,,4135.285
K0848,,,5468.89
K0849,,,Prevailing State Rates
K0851,,,Prevailing State Rates
K0856,,,8218.17
K0857,,,Prevailing State Rates
K0861,,,7163.26
K0862,,,8375.66
L0120,,,31.14
L0160,,,Prevailing State Rates
L0172,,,120.68
L0174,,,254.09
L0180,,,370.46
L0200,,,Prevailing State Rates
L0456,,,913.75
L0457,,,742.73
L0464,,,1365.63
L0484,,,Prevailing State Rates
L0486,,,1659.47
L0621,,,86.45
L0625,,,41.13
L0627,,,377.66
L0630,,,Prevailing State Rates
L0631,,,943.16
L0637,,,1032.62
L0639,,,1032.62
L0640,,,Prevailing State Rates
L0641,,,Prevailing State Rates
L0642,,,312.51
L0648,,,780.46
L0650,,,854.51
L0651,,,Prevailing State Rates
L0810,,,Prevailing State Rates
L0859,,,Prevailing State Rates
L0861,,,Prevailing State Rates
L0984,,,60.18
L0999,,,Prevailing State Rates
L1006,,,Prevailing State Rates
L1020,,,Prevailing State Rates
L1040,,,84.93
L1060,,,99.17
L1080,,,55.41
L1085,,,Prevailing State Rates
L1200,,,1838.71
L1210,,,230.3
L1220,,,238.54
L1240,,,73.04
L1250,,,66.8
L1260,,,70.53
L1270,,,68.19
L1290,,,70.66
L1300,,,Prevailing State Rates
L1320,,,2737.8
L1499,,,985.71
L1620,,,182.88
L1650,,,299.97
L1660,,,163.23
L1686,,,Prevailing State Rates
L1812,,,81.56
L1820,,,102.89
L1821,,,Prevailing State Rates
L1830,,,79.99
L1832,,,713.46
L1833,,,400.27
L1836,,,Prevailing State Rates
L1843,,,824.34
L1844,,,Prevailing State Rates
L1845,,,747.11
L1846,,,1125.3
L1850,,,230.43
L1851,,,Prevailing State Rates
L1852,,,621.36
L1902,,,86.15
L1904,,,609.22
L1906,,,105.85
L1907,,,516.97
L1930,,,188.69
L1932,,,819.84
L1940,,,467.6
L1945,,,919.38
L1950,,,1286.68
L1951,,,771.58
L1960,,,487.86
L1970,,,561.25
L1971,,,Prevailing State Rates
L1980,,,608.11
L2034,,,Prevailing State Rates
L2036,,,2106.61
L2050,,,625.93
L2108,,,Prevailing State Rates
L2112,,,Prevailing State Rates
L2114,,,769.02
L2200,,,55.79
L2210,,,62.02
L2220,,,85.18
